                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3528,                 2.1811,                 1.4411,                0.82872,                0.33333,                0.45751,                0.25825,                 1.0451,                 9.6407,                 1.7548,              0.0008185,              0.0008185,              0.0008185
                     24,                 1.9793,                 2.8057,                 1.8437,                0.96636,                0.33333,                 0.3804,                0.24105,                 1.0391,                 10.904,                 1.5331,             0.00081025,             0.00081025,             0.00081025
                     25,                 1.0654,                 1.4546,                 1.2106,                0.74427,                0.33333,                 0.3696,                0.19297,                0.98861,                 10.481,                 1.4125,               0.000802,               0.000802,               0.000802
                     26,                 1.0138,                 1.4129,                 1.1622,                0.54628,                0.33333,                0.34713,                0.13075,                 1.1251,                  32.74,                 1.5391,             0.00079375,             0.00079375,             0.00079375
                     27,                 1.2618,                 2.0899,                 1.4025,                0.82975,                0.33333,                0.34202,                0.20362,                 1.0387,                  13.72,                 1.4613,              0.0007855,              0.0007855,              0.0007855
                     28,                 1.5223,                 2.3187,                 1.5118,                      1,                0.32252,                0.33272,                0.18309,                  1.052,                 2.6206,                 1.3974,             0.00077725,             0.00077725,             0.00077725
                     29,                 1.6384,                 2.0468,                 1.5161,                0.74433,                0.33333,                0.16663,                0.08894,                  1.109,                 2.2283,                 1.4897,               0.000769,               0.000769,               0.000769
                     30,                 1.2184,                 2.4133,                 1.4099,                 0.6632,                0.33333,                0.13936,                0.08661,                 1.0138,                 2.2624,                 1.4202,             0.00076075,             0.00076075,             0.00076075
                     31,                 1.7093,                 2.4847,                 1.8359,                0.74097,                0.33333,                0.26243,                 0.2017,                 1.0467,                 4.0629,                 1.5034,              0.0007525,              0.0007525,              0.0007525
                     32,                 1.2353,                 1.6842,                 1.3035,                0.92396,                0.33333,                0.74694,                  0.287,                0.98736,                 4.9334,                 1.4297,             0.00074425,             0.00074425,             0.00074425
